,frame
side_131,2086
side_132,149
side_133,2086
side_134,1934
side_135,2457
side_136,2101
side_137,2097
side_138,1630
side_139,2142
side_140,2434
side_141,2171
side_142,1432
side_143,2215
side_144,544
side_145,2945
side_146,2068
side_147,2043
side_148,1635
side_149,1572
side_150,1432
side_151,1419
side_152,936
side_153,1454
side_154,1371
side_155,1399
side_156,1488
side_157,1193
side_158,3113
side_159,1120
side_160,1349
side_161,1240
side_162,407
side_163,392
side_164,382
side_165,329
side_166,520
side_167,443
